France, Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   8.2500000    43.2500000      -0.00025       0.00012 
   8.2500000    43.5000000      -0.00023       0.00013 
   8.2500000    43.7500000      -0.00019       0.00007 
   8.2500000    44.0000000      -0.00011       0.00002 
   8.2500000    44.2500000       0.00002      -0.00001 
   8.2500000    44.5000000       0.00005       0.00004 
   8.2500000    44.7500000       0.00006       0.00022 
   8.2500000    45.0000000       0.00001       0.00027 
   8.2500000    45.2500000      -0.00013      -0.00000 
   8.2500000    45.5000000      -0.00017      -0.00026 
   8.2500000    45.7500000      -0.00021      -0.00028 
   8.2500000    46.0000000      -0.00024      -0.00018 
   8.2500000    46.2500000      -0.00021      -0.00007 
   8.2500000    46.5000000      -0.00012       0.00003 
   8.2500000    46.7500000      -0.00005       0.00010 
   8.2500000    47.0000000      -0.00005       0.00013 
   8.2500000    47.2500000      -0.00004       0.00016 
