Long [deg],  Lat[deg],    Ve[m/yr],  Vn[m/yr],  SVe[m/yr], SVn[m/yr], angle[deg],    Name
 1.0000000  52.5000000    0.00005  -0.00009     0.000074    0.000063    0.0 
 1.0000000  53.0000000   -0.00000   0.00005     0.000062    0.000040    0.0 
 1.5000000  41.0000000   -0.00014  -0.00006     0.000146    0.000139    0.0 
 1.5000000  41.5000000   -0.00011  -0.00007     0.000129    0.000123    0.0 
 1.5000000  42.0000000   -0.00004  -0.00010     0.000122    0.000137    0.0 
 1.5000000  42.5000000   -0.00004  -0.00002     0.000097    0.000110    0.0 
 1.5000000  43.0000000   -0.00009   0.00017     0.000073    0.000082    0.0 
 1.5000000  43.5000000    0.00018  -0.00003     0.000063    0.000057    0.0 
 1.5000000  44.0000000    0.00012  -0.00007     0.000097    0.000080    0.0 
 1.5000000  44.5000000    0.00007  -0.00015     0.000058    0.000052    0.0 
 1.5000000  45.0000000    0.00013  -0.00024     0.000053    0.000091    0.0 
 1.5000000  45.5000000    0.00015  -0.00014     0.000046    0.000101    0.0 
 1.5000000  46.0000000    0.00018  -0.00010     0.000044    0.000109    0.0 
 1.5000000  46.5000000    0.00016  -0.00008     0.000077    0.000097    0.0 
 1.5000000  47.0000000    0.00015  -0.00005     0.000079    0.000076    0.0 
 1.5000000  47.5000000    0.00019  -0.00007     0.000060    0.000065    0.0 
 1.5000000  48.0000000    0.00026  -0.00016     0.000077    0.000050    0.0 
 1.5000000  48.5000000    0.00031  -0.00025     0.000067    0.000052    0.0 
 1.5000000  49.0000000    0.00034  -0.00028     0.000061    0.000043    0.0 
 1.5000000  49.5000000    0.00031  -0.00026     0.000064    0.000044    0.0 
 1.5000000  50.0000000    0.00025  -0.00023     0.000069    0.000044    0.0 
 1.5000000  50.5000000    0.00017  -0.00017     0.000078    0.000042    0.0 
 1.5000000  51.0000000    0.00012  -0.00013     0.000065    0.000030    0.0 
 1.5000000  51.5000000    0.00008  -0.00012     0.000069    0.000027    0.0 
 1.5000000  52.0000000    0.00005  -0.00011     0.000072    0.000022    0.0 
 1.5000000  52.5000000    0.00003  -0.00010     0.000076    0.000016    0.0 
 1.5000000  53.0000000    0.00001   0.00009     0.000030    0.000011    0.0 
 2.0000000  41.0000000   -0.00012  -0.00009     0.000121    0.000156    0.0 
 2.0000000  41.5000000   -0.00008  -0.00013     0.000126    0.000120    0.0 
